ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000221,.jpg,勇闯夺命岛,The Rock,石破天惊  /  绝地任务,迈克尔·贝 Michael Bay   ,肖恩·康纳利 Sean Connery / 尼古拉...,1996 , 美国 , 动作 冒险,8.6,162727人
000222,.jpg,E.T. 外星人,E.T.: The Extra-Terrestrial,外星人E.T.  /  外星人,Steven Spielberg   ,Henry Thomas / Dee Wallace / Robert MacNa...,1982 , 美国 , 剧情 科幻,8.5,182177人
000223,.jpg,变脸,Face/Off,夺面双雄,吴宇森 John Woo   ,约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,1997 , 美国 , 动作 科幻 犯罪 惊悚,8.4,244790人
000224,.jpg,彗星来的那一夜,Coherence,相干性  /  相干效应,詹姆斯·沃德·布柯特 James Ward Byrkit   ,艾米丽·芭尔多尼 Em...,2013 , 美国 英国 , 科幻 悬疑 惊悚,8.4,226362人
000225,.jpg,碧海蓝天,Le grand bleu,碧海情深  /  夜海倾情,Luc Besson   ,让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...,1988 , 法国 美国 意大利 , 剧情 爱情,8.7,116371人
000226,.jpg,卡萨布兰卡,Casablanca,北非谍影(港)  /  卡萨布兰卡,Michael Curtiz   ,亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...,1942 , 美国 , 剧情 爱情 战争,8.6,143052人
000227,.jpg,黄金三镖客,Il buono il brutto il cattivo.,好·坏·丑  /  独行侠决斗地狱门(港),Sergio Leone   ,Clint Eastwood / Eli Wallach / Lee Van Cleef,1966 , 意大利 西班牙 西德 , 冒险 西部,9.1,61480人
000228,.jpg,发条橙,A Clockwork Orange,发条桔子  /  发条橙子,Stanley Kubrick   ,Malcolm McDowell / Patrick Magee / Michael...,1971 , 英国 美国 , 犯罪 剧情 科幻,8.5,211358人
000229,.jpg,聚焦,Spotlight,焦点追击(港)  /  惊爆焦点(台),托马斯·麦卡锡 Thomas McCarthy   ,马克·鲁弗洛 Mark Ruffalo /...,2015 , 美国 , 剧情 传记,8.8,151680人
000230,.jpg,血钻,Blood Diamond,血腥钻石  /  滴血钻石,爱德华·兹威克 Edward Zwick   ,莱昂纳多·迪卡普里奥 Leonardo ...,2006 , 美国 德国 , 剧情 惊悚 冒险,8.6,161457人
